    r,g,b,text_color
51,51,51,1
255,127,0,0
255,187,255,0
222,184,135,0
8,8,8,1
255,255,153,0
230,230,128,0
204,128,153,0
210,180,140,0
255,215,0,0
0,139,139,1
173,173,173,0
244,244,244,0
153,179,255,0
125,158,192,0
230,230,179,0
139,71,38,1
255,153,102,0
102,26,51,1
102,102,102,1
0,199,140,0
30,30,30,1
205,91,69,1
23,23,23,1
255,125,64,0
205,192,176,0
188,238,104,0
118,238,0,0
255,250,205,0
255,99,71,0
255,230,102,0
255,153,128,0
238,18,137,1
234,234,234,0
224,224,224,0
0,205,0,1
79,79,79,1
255,255,255,0
46,46,46,1
128,128,128,0
179,238,58,0
238,207,161,0
139,117,0,1
139,69,19,1
139,76,57,1
26,77,77,1
255,228,196,0
238,180,34,0
255,179,179,0
240,240,240,0
153,102,153,1
69,69,69,1
91,91,91,1
250,235,215,0
139,121,94,1
165,42,42,1
255,185,15,0
255,245,238,0
39,64,139,1
193,255,193,0
196,196,196,0
255,102,102,0
224,255,255,0
0,26,128,1
122,122,122,1
248,248,255,0
204,128,51,0
137,104,205,1
112,128,144,1
0,0,205,1
77,26,77,1
181,181,181,0
143,143,143,0
139,71,38,1
158,158,158,0
209,95,238,0
230,179,230,0
102,102,102,1
205,79,57,1
26,77,26,1
178,58,238,1
255,153,102,0
189,183,107,0
205,0,205,1
255,230,128,0
28,134,238,1
238,58,140,1
162,181,205,0
204,153,204,0
245,245,220,0
238,229,222,0
219,112,147,0
255,128,0,0
51,51,51,1
139,95,101,1
238,130,98,0
238,121,66,0
238,44,44,1
171,171,171,0
135,38,87,1
139,37,0,1
139,105,105,1
169,169,169,0
255,236,139,0
245,255,250,0
92,172,238,0
131,111,255,0
142,229,238,0
204,230,255,0
227,207,87,0
255,240,245,0
255,228,196,0
205,96,144,0
0,250,154,0
219,219,219,0
39,64,139,1
205,170,125,0
102,139,139,0
179,230,230,0
46,139,87,1
85,85,85,1
74,112,139,1
147,112,219,0
168,168,168,0
205,198,115,0
205,96,144,0
237,145,33,0
255,153,153,0
205,51,51,1
255,193,193,0
0,104,139,1
255,222,173,0
77,0,26,1
84,84,84,1
205,112,84,0
126,192,238,0
179,128,26,0
209,209,209,0
0,139,69,1
122,55,139,1
191,239,255,0
255,230,102,0
198,226,255,0
214,214,214,0
128,128,128,0
92,172,238,0
255,127,80,0
140,140,140,0
204,255,204,0
120,120,120,1
230,230,153,0
139,99,108,1
255,102,102,0
154,50,205,1
0,197,205,0
193,193,193,0
54,54,54,1
255,231,186,0
154,255,154,0
61,145,64,1
28,28,28,1
238,233,233,0
15,15,15,1
71,60,139,1
198,226,255,0
192,255,62,0
230,230,230,0
204,204,204,0
250,250,210,0
255,179,128,0
245,245,245,0
139,117,0,1
135,206,255,0
139,139,131,0
181,181,181,0
153,204,204,0
40,40,40,1
64,64,64,1
139,101,8,1
240,255,240,0
170,170,170,0
153,77,102,1
61,61,61,1
255,255,102,0
153,0,0,1
26,26,26,1
139,58,98,1
238,121,159,0
238,210,238,0
119,136,153,0
255,179,128,0
255,179,153,0
255,181,197,0
150,150,150,0
224,255,255,0
205,102,29,1
205,198,115,0
205,183,181,0
102,77,179,1
255,48,48,1
117,117,117,1
151,255,255,0
160,82,45,1
176,224,230,0
61,61,61,1
230,153,179,0
188,210,238,0
179,128,179,0
139,126,102,1
126,192,238,0
155,48,255,1
145,44,238,1
192,192,192,0
238,220,130,0
139,134,78,0
0,0,255,1
179,102,128,0
94,38,18,1
117,117,117,1
148,148,148,0
33,33,33,1
159,182,205,0
205,149,12,0
0,139,139,1
224,224,224,0
202,255,112,0
194,194,194,0
0,128,128,1
238,122,233,0
154,192,205,0
205,85,85,1
222,184,135,0
255,114,86,0
204,179,255,0
245,222,179,0
139,34,82,1
0,229,238,0
79,148,205,0
132,132,132,0
118,238,198,0
230,230,153,0
102,153,153,0
238,130,238,0
154,205,50,0
143,143,143,0
139,58,98,1
237,237,237,0
250,240,230,0
105,105,105,1
41,41,41,1
205,105,201,0
173,255,47,0
128,128,105,1
105,139,105,1
13,13,13,1
242,242,242,0
238,232,170,0
173,216,230,0
255,230,153,0
255,127,36,0
230,230,204,0
121,205,205,0
255,105,180,0
142,142,56,0
238,224,229,0
61,145,64,1
255,48,48,1
224,238,238,0
210,105,30,0
233,150,122,0
64,224,208,0
235,235,235,0
255,160,122,0
205,16,118,1
84,255,159,0
102,128,230,0
202,225,255,0
205,92,92,1
209,238,238,0
0,134,139,1
139,131,134,0
205,155,155,0
161,161,161,0
77,77,77,1
108,123,139,1
255,230,179,0
193,255,193,0
255,97,3,0
152,245,255,0
0,191,255,0
0,255,255,0
186,186,186,0
208,32,144,1
0,134,139,1
153,51,0,1
120,120,120,1
139,139,131,0
255,230,153,0
238,213,210,0
128,0,0,1
179,238,58,0
255,204,128,0
230,153,179,0
50,205,50,0
255,193,37,0
65,105,225,1
135,206,250,0
230,230,77,0
204,255,255,0
176,23,31,1
51,77,179,1
67,205,128,0
58,95,205,1
104,131,139,1
244,244,244,0
139,76,57,1
255,204,255,0
154,255,154,0
230,179,230,0
216,191,216,0
212,212,212,0
193,205,193,0
255,192,203,0
184,134,11,0
138,54,15,1
124,205,124,0
139,71,93,1
255,230,128,0
51,161,201,0
219,112,147,0
138,43,226,1
255,255,0,0
245,255,250,0
238,210,238,0
113,113,198,1
255,228,225,0
180,205,205,0
205,200,177,0
255,250,250,0
153,204,153,0
0,255,0,0
232,232,232,0
205,179,139,0
138,54,15,1
255,52,179,1
178,58,238,1
158,158,158,0
153,102,0,1
205,145,158,0
204,255,255,0
180,205,205,0
238,48,167,1
95,158,160,0
32,178,170,0
20,20,20,1
79,79,79,1
118,238,0,0
0,139,69,1
51,161,201,0
205,104,137,0
153,77,102,1
238,173,14,0
238,106,80,0
122,55,139,1
105,105,105,1
143,188,143,0
238,154,0,0
255,193,193,0
152,251,152,0
141,238,238,0
128,179,128,0
255,228,181,0
205,50,120,1
238,224,229,0
205,193,197,0
212,212,212,0
139,54,38,1
48,48,48,1
224,238,238,0
205,0,205,1
0,51,0,1
255,20,147,1
128,0,128,1
0,238,0,0
205,133,0,0
224,238,224,0
255,245,238,0
205,205,0,0
255,204,179,0
255,255,153,0
142,56,142,1
238,149,114,0
204,51,51,1
205,205,193,0
205,175,149,0
128,128,26,1
199,21,133,1
24,116,205,1
0,205,205,0
139,34,82,1
230,128,77,0
255,131,250,0
255,255,77,0
84,139,84,1
238,162,173,0
176,196,222,0
204,204,204,0
0,154,205,1
250,250,250,0
240,128,128,0
130,130,130,0
163,163,163,0
122,139,139,0
30,30,30,1
205,205,180,0
227,207,87,0
0,128,128,1
147,112,219,0
255,165,0,0
179,230,230,0
135,135,135,0
33,33,33,1
18,18,18,1
165,42,42,1
220,20,60,1
176,196,222,0
51,51,51,1
179,179,26,0
36,36,36,1
54,100,139,1
255,62,150,0
153,50,204,1
70,130,180,1
0,178,238,0
255,182,193,0
0,0,205,1
205,104,57,0
105,105,105,1
100,149,237,0
139,123,139,0
139,123,139,0
185,211,238,0
238,230,133,0
205,55,0,1
202,225,255,0
205,186,150,0
77,128,77,1
28,134,238,1
185,211,238,0
238,118,33,0
16,78,139,1
97,97,97,1
170,170,170,0
255,255,240,0
230,153,77,0
139,10,80,1
255,222,173,0
171,130,255,0
77,26,77,1
0,51,51,1
77,102,204,1
230,179,77,0
209,95,238,0
255,153,18,0
240,240,240,0
240,248,255,0
77,128,128,1
74,74,74,1
26,51,153,1
255,246,143,0
139,58,58,1
107,107,107,1
204,128,153,0
218,112,214,0
3,168,158,1
139,137,112,0
72,118,255,1
152,251,152,0
224,102,255,0
255,179,153,0
144,238,144,0
255,99,71,0
56,56,56,1
238,154,73,0
179,153,255,0
255,62,150,0
102,128,230,0
180,82,205,1
255,235,205,0
232,232,232,0
0,245,255,0
99,184,255,0
205,193,197,0
180,238,180,0
255,236,139,0
139,99,108,1
155,205,155,0
87,87,87,1
13,13,13,1
102,51,102,1
128,153,255,0
238,99,99,0
204,204,102,0
184,134,11,0
139,119,101,1
205,102,29,1
201,201,201,0
230,77,77,1
194,194,194,0
168,168,168,0
91,91,91,1
238,130,98,0
16,78,139,1
115,115,115,1
43,43,43,1
255,239,213,0
229,229,229,0
26,26,26,1
102,205,170,0
85,107,47,1
250,235,215,0
240,255,240,0
128,0,128,1
240,230,140,0
140,140,140,0
138,51,36,1
238,213,183,0
0,255,0,0
26,26,26,1
26,77,26,1
130,130,130,0
255,128,128,0
176,23,31,1
41,41,41,1
238,232,170,0
179,179,179,0
238,99,99,0
125,38,205,1
31,31,31,1
34,139,34,1
79,148,205,0
255,0,255,1
180,238,180,0
105,89,205,1
210,105,30,0
5,5,5,1
255,250,240,0
191,62,255,1
238,201,0,0
150,150,150,0
173,216,230,0
159,182,205,0
77,77,77,1
139,90,43,1
205,205,0,0
230,230,204,0
85,107,47,1
217,217,217,0
72,61,139,1
0,206,209,0
75,0,130,1
139,131,120,0
255,130,171,0
255,211,155,0
102,102,102,1
252,230,201,0
240,128,128,0
0,51,51,1
139,125,123,0
238,201,0,0
205,133,0,0
238,207,161,0
205,79,57,1
214,214,214,0
255,225,255,0
238,238,224,0
188,210,238,0
238,118,33,0
255,204,230,0
135,38,87,1
191,239,255,0
74,74,74,1
51,102,102,1
178,34,34,1
238,213,210,0
255,246,143,0
135,206,235,0
205,175,149,0
82,82,82,1
0,238,0,0
255,255,255,0
0,154,205,1
92,92,92,1
118,238,198,0
163,163,163,0
123,104,238,1
162,205,90,0
233,150,122,0
85,26,139,1
255,255,0,0
161,161,161,0
105,139,34,1
152,245,255,0
222,222,222,0
28,28,28,1
238,0,0,1
238,0,0,1
188,238,104,0
238,64,0,1
121,205,205,0
155,205,155,0
178,223,238,0
71,71,71,1
153,153,153,0
162,181,205,0
205,129,98,0
77,0,26,1
205,155,29,0
128,51,77,1
238,149,114,0
179,77,26,1
112,112,112,1
0,238,238,0
102,26,51,1
238,169,184,0
229,229,229,0
238,232,205,0
205,173,0,0
255,187,255,0
230,179,204,0
179,230,179,0
131,139,131,0
139,126,102,1
255,105,180,0
124,252,0,0
238,197,145,0
156,156,156,0
207,207,207,0
204,179,255,0
166,166,166,0
174,238,238,0
255,179,102,0
205,200,177,0
139,119,101,1
77,51,153,1
0,205,102,0
238,180,180,0
77,51,153,1
192,192,192,0
153,102,0,1
219,219,219,0
255,250,240,0
255,255,204,0
179,204,255,0
139,137,137,0
205,201,201,0
187,255,255,0
238,0,238,1
230,230,179,0
153,128,230,0
255,255,102,0
238,216,174,0
238,203,173,0
0,245,255,0
245,245,245,0
139,90,43,1
97,97,97,1
255,218,185,0
128,179,179,0
179,230,179,0
188,143,143,0
205,190,112,0
238,130,238,0
102,102,0,1
78,238,148,0
127,255,0,0
139,105,20,1
205,102,0,1
0,139,0,1
156,102,31,1
238,232,205,0
139,71,137,1
154,205,50,0
131,139,139,0
238,106,167,0
131,139,139,0
51,0,51,1
94,94,94,1
255,153,153,0
139,139,122,0
3,168,158,1
139,0,139,1
3,3,3,1
176,224,230,0
105,139,34,1
189,252,201,0
139,90,0,1
224,238,224,0
48,48,48,1
255,128,0,0
0,100,0,1
211,211,211,0
102,139,139,0
255,140,105,0
139,136,120,0
153,102,153,1
205,104,57,0
238,44,44,1
139,54,38,1
139,139,0,1
104,34,139,1
238,48,167,1
227,227,227,0
205,201,165,0
199,97,20,1
123,104,238,1
205,186,150,0
71,71,71,1
176,176,176,0
142,142,142,0
139,131,120,0
43,43,43,1
47,79,79,1
153,128,230,0
153,153,153,0
255,0,255,1
51,51,51,1
205,92,92,1
139,115,85,1
187,255,255,0
205,181,205,0
115,115,115,1
255,235,205,0
179,77,26,1
238,233,191,0
205,104,137,0
153,77,0,1
124,252,0,0
255,192,203,0
104,131,139,1
255,114,86,0
0,26,128,1
255,160,122,0
205,0,0,1
204,204,51,0
150,205,205,0
51,102,102,1
224,102,255,0
193,205,193,0
51,26,128,1
247,247,247,0
65,105,225,1
238,169,184,0
238,118,0,0
205,179,139,0
255,255,128,0
255,230,204,0
139,131,134,0
255,204,230,0
255,130,71,0
139,136,120,0
51,77,179,1
139,134,78,0
171,130,255,0
238,174,238,0
72,209,204,0
255,131,250,0
148,0,211,1
238,238,224,0
30,144,255,1
230,230,128,0
227,168,105,0
100,149,237,0
0,199,140,0
132,132,132,0
250,250,250,0
238,180,180,0
51,102,51,1
89,89,89,1
179,153,255,0
0,0,139,1
139,35,35,1
93,71,139,1
106,90,205,1
186,85,211,0
255,140,0,0
99,99,99,1
204,102,51,1
204,153,51,0
255,140,0,0
255,204,255,0
191,191,191,0
179,179,179,0
205,183,181,0
128,128,0,1
205,155,155,0
184,184,184,0
205,129,98,0
189,183,107,0
205,197,191,0
135,135,135,0
138,138,138,0
128,179,128,0
108,166,205,0
77,77,77,1
240,230,140,0
255,255,255,0
230,230,250,0
255,97,3,0
139,10,80,1
72,209,204,0
255,130,171,0
139,115,85,1
202,255,112,0
205,41,144,1
132,112,255,0
102,205,170,0
110,139,61,1
155,48,255,1
189,189,189,0
128,51,77,1
0,0,255,1
244,164,96,0
85,26,139,1
139,35,35,1
30,144,255,1
46,46,46,1
248,248,255,0
230,204,255,0
205,16,118,1
0,201,87,0
255,255,224,0
205,201,165,0
77,128,77,1
255,204,204,0
205,173,0,0
139,69,0,1
137,104,205,1
125,38,205,1
159,121,238,0
128,128,26,1
153,204,153,0
32,178,170,0
207,207,207,0
102,205,0,0
162,205,90,0
128,153,255,0
139,125,107,1
102,153,102,0
139,129,76,1
238,174,238,0
92,92,92,1
128,0,0,1
38,38,38,1
128,138,135,0
179,102,128,0
180,82,205,1
72,118,255,1
139,26,26,1
0,139,0,1
218,112,214,0
56,56,56,1
128,128,105,1
128,138,135,0
153,51,0,1
153,153,153,0
238,154,73,0
0,229,238,0
238,122,233,0
125,125,125,1
112,128,144,1
153,77,0,1
255,165,79,0
199,97,20,1
131,139,131,0
255,218,185,0
154,192,205,0
255,181,197,0
220,220,220,0
141,182,205,0
242,242,242,0
102,205,0,0
102,77,179,1
36,36,36,1
107,142,35,1
255,69,0,1
110,110,110,1
139,139,122,0
205,133,63,0
179,179,77,0
139,58,58,1
205,145,158,0
50,205,50,0
205,0,0,1
189,189,189,0
238,238,209,0
70,130,180,1
179,26,26,1
205,149,12,0
0,250,154,0
139,101,8,1
139,95,101,1
142,229,238,0
176,226,255,0
139,0,139,1
171,171,171,0
255,165,0,0
77,128,128,1
102,102,102,1
255,204,204,0
105,139,105,1
94,38,18,1
255,182,193,0
238,229,222,0
139,62,47,1
255,204,102,0
230,77,77,1
124,205,124,0
193,193,193,0
205,51,51,1
201,201,201,0
3,3,3,1
127,127,127,1
204,204,204,0
127,127,127,1
205,140,149,0
112,112,112,1
205,150,205,0
191,62,255,1
250,240,230,0
205,183,158,0
255,255,128,0
238,118,0,0
139,134,130,0
164,211,238,0
255,174,185,0
205,105,201,0
132,112,255,0
139,62,47,1
150,205,205,0
144,238,144,0
221,160,221,0
0,128,0,1
139,37,0,1
205,140,149,0
139,26,26,1
127,255,212,0
31,31,31,1
238,220,130,0
128,77,128,1
69,69,69,1
255,165,79,0
255,127,0,0
102,153,153,0
234,234,234,0
160,82,45,1
255,106,106,0
107,107,107,1
119,136,153,0
255,204,153,0
74,112,139,1
166,166,166,0
139,102,139,1
153,50,204,1
176,226,255,0
71,60,139,1
238,59,59,1
238,223,204,0
238,64,0,1
41,36,33,1
217,217,217,0
255,225,255,0
122,197,205,0
0,104,139,1
199,199,199,0
238,238,209,0
250,128,114,0
102,51,102,1
220,20,60,1
198,113,113,0
141,238,238,0
205,190,112,0
238,59,59,1
96,123,139,1
66,66,66,1
179,128,26,0
222,222,222,0
60,179,113,0
40,40,40,1
153,153,153,0
230,204,255,0
0,238,238,0
26,0,104,1
210,180,140,0
148,0,211,1
128,102,204,1
255,193,37,0
209,209,209,0
0,51,0,1
238,106,167,0
85,85,85,1
255,127,36,0
38,38,38,1
139,129,76,1
205,201,201,0
255,255,204,0
125,158,192,0
84,255,159,0
238,197,145,0
93,71,139,1
240,255,255,0
205,55,0,1
15,15,15,1
84,139,84,1
189,252,201,0
